open;high;low;close;volume;timestamp;symbol
10869.00;10878.80;10836.50;10838.00;4284;2015-02-05 15:00:00;^GDAXI
10839.00;10908.00;10829.00;10886.00;4563;2015-02-05 16:00:00;^GDAXI
10884.50;10912.80;10884.30;10898.30;3323;2015-02-05 17:00:00;^GDAXI
10898.00;10901.50;10871.30;10886.80;1781;2015-02-05 18:00:00;^GDAXI
10887.00;10895.50;10882.80;10886.00;1428;2015-02-05 19:00:00;^GDAXI
10885.80;10893.00;10879.00;10885.30;1518;2015-02-05 20:00:00;^GDAXI
10886.30;10904.30;10882.50;10902.00;894;2015-02-05 21:00:00;^GDAXI
10878.50;10887.30;10860.50;10875.50;1355;2015-02-06 08:00:00;^GDAXI
10877.30;10880.30;10825.00;10827.80;3837;2015-02-06 09:00:00;^GDAXI
10828.00;10852.80;10803.80;10804.50;2629;2015-02-06 10:00:00;^GDAXI
10804.80;10840.50;10801.50;10812.30;2085;2015-02-06 11:00:00;^GDAXI
10811.80;10833.50;10810.00;10830.50;1665;2015-02-06 12:00:00;^GDAXI
10830.30;10845.00;10821.80;10828.80;1744;2015-02-06 13:00:00;^GDAXI
10827.80;10876.50;10811.00;10850.80;3676;2015-02-06 14:00:00;^GDAXI
10850.50;10864.00;10821.50;10829.80;4657;2015-02-06 15:00:00;^GDAXI
10830.00;10866.30;10823.50;10850.80;3607;2015-02-06 16:00:00;^GDAXI
10850.30;10861.00;10818.00;10823.50;2722;2015-02-06 17:00:00;^GDAXI
10824.00;10835.80;10779.00;10813.30;2125;2015-02-06 18:00:00;^GDAXI
10813.50;10818.00;10764.00;10791.30;3161;2015-02-06 19:00:00;^GDAXI
10792.00;10810.30;10777.00;10779.30;1987;2015-02-06 20:00:00;^GDAXI
10779.50;10788.70;10753.80;10786.70;2365;2015-02-06 21:00:00;^GDAXI
10752.80;10775.50;10744.30;10762.80;1725;2015-02-09 08:00:00;^GDAXI
10761.80;10766.80;10614.50;10639.50;5841;2015-02-09 09:00:00;^GDAXI
10639.00;10672.00;10621.00;10645.80;3200;2015-02-09 10:00:00;^GDAXI
10646.00;10718.80;10640.80;10699.50;2927;2015-02-09 11:00:00;^GDAXI
10700.00;10704.00;10659.50;10661.80;2309;2015-02-09 12:00:00;^GDAXI
10662.00;10698.50;10659.50;10672.80;2409;2015-02-09 13:00:00;^GDAXI
10672.50;10685.80;10616.50;10651.50;3085;2015-02-09 14:00:00;^GDAXI
10653.50;10686.00;10627.50;10660.50;4802;2015-02-09 15:00:00;^GDAXI
10660.00;10675.00;10622.50;10632.00;4767;2015-02-09 16:00:00;^GDAXI
10632.30;10679.30;10629.00;10665.50;3385;2015-02-09 17:00:00;^GDAXI
10665.00;10675.00;10656.00;10666.50;1684;2015-02-09 18:00:00;^GDAXI
10665.30;10669.30;10641.00;10647.00;1564;2015-02-09 19:00:00;^GDAXI
10647.50;10651.00;10631.80;10633.80;1509;2015-02-09 20:00:00;^GDAXI
10633.30;10657.00;10603.80;10653.00;1822;2015-02-09 21:00:00;^GDAXI
10679.00;10708.00;10671.30;10673.30;1638;2015-02-10 08:00:00;^GDAXI
10676.00;10684.30;10592.50;10627.80;4397;2015-02-10 09:00:00;^GDAXI
10628.00;10669.80;10619.00;10663.30;3168;2015-02-10 10:00:00;^GDAXI
10663.50;10684.50;10652.80;10668.00;2230;2015-02-10 11:00:00;^GDAXI
10668.30;10710.00;10666.00;10702.50;2078;2015-02-10 12:00:00;^GDAXI
10703.00;10797.00;10700.30;10738.00;4502;2015-02-10 13:00:00;^GDAXI
10738.50;10775.50;10723.30;10770.30;2912;2015-02-10 14:00:00;^GDAXI
10769.80;10786.00;10740.50;10742.50;3652;2015-02-10 15:00:00;^GDAXI
10743.30;10768.80;10680.00;10699.30;5047;2015-02-10 16:00:00;^GDAXI
10699.50;10767.50;10678.80;10758.00;3794;2015-02-10 17:00:00;^GDAXI
10757.80;10780.80;10749.00;10767.30;1814;2015-02-10 18:00:00;^GDAXI
10768.30;10778.30;10749.30;10759.00;1565;2015-02-10 19:00:00;^GDAXI
10758.80;10795.30;10758.50;10794.50;1151;2015-02-10 20:00:00;^GDAXI
10793.30;10812.00;10787.30;10789.40;1149;2015-02-10 21:00:00;^GDAXI
10769.00;10788.50;10762.80;10769.50;1249;2015-02-11 08:00:00;^GDAXI
10769.00;10792.80;10733.30;10747.80;3044;2015-02-11 09:00:00;^GDAXI
10747.30;10767.00;10722.30;10738.00;2261;2015-02-11 10:00:00;^GDAXI
10737.50;10746.50;10708.80;10709.80;2141;2015-02-11 11:00:00;^GDAXI
10711.00;10728.80;10695.50;10720.50;2114;2015-02-11 12:00:00;^GDAXI
10720.30;10743.00;10702.00;10739.30;2050;2015-02-11 13:00:00;^GDAXI
10739.50;10764.00;10713.00;10747.80;2459;2015-02-11 14:00:00;^GDAXI
10748.30;10775.00;10737.50;10763.00;3173;2015-02-11 15:00:00;^GDAXI
10763.50;10771.30;10732.00;10748.00;3081;2015-02-11 16:00:00;^GDAXI
10749.00;10770.00;10734.00;10737.80;2756;2015-02-11 17:00:00;^GDAXI
10737.50;10745.50;10722.50;10731.30;1643;2015-02-11 18:00:00;^GDAXI
10731.00;10756.80;10701.30;10745.50;2493;2015-02-11 19:00:00;^GDAXI
10745.80;10770.30;10744.00;10751.50;2131;2015-02-11 20:00:00;^GDAXI
10751.30;10795.00;10744.50;10765.90;2086;2015-02-11 21:00:00;^GDAXI
10783.50;10783.50;10728.50;10739.80;1779;2015-02-12 08:00:00;^GDAXI
10740.80;10844.50;10735.30;10829.50;4504;2015-02-12 09:00:00;^GDAXI
10828.50;10910.80;10826.30;10882.30;4240;2015-02-12 10:00:00;^GDAXI
10881.50;10944.80;10877.50;10933.30;3111;2015-02-12 11:00:00;^GDAXI
10932.50;10935.30;10910.80;10921.30;2196;2015-02-12 12:00:00;^GDAXI
10921.50;10942.00;10907.30;10939.30;1752;2015-02-12 13:00:00;^GDAXI
10939.00;10946.30;10924.00;10941.00;2518;2015-02-12 14:00:00;^GDAXI
10941.50;10953.50;10915.30;10933.50;3482;2015-02-12 15:00:00;^GDAXI
10933.30;10952.00;10895.00;10914.50;3808;2015-02-12 16:00:00;^GDAXI
10914.80;10932.30;10898.30;10926.00;3316;2015-02-12 17:00:00;^GDAXI
10925.80;10938.30;10925.30;10932.50;1489;2015-02-12 18:00:00;^GDAXI
10933.00;10949.00;10926.50;10948.00;1623;2015-02-12 19:00:00;^GDAXI
10947.80;10962.30;10945.50;10960.80;1301;2015-02-12 20:00:00;^GDAXI
10961.00;10975.00;10955.00;10974.30;849;2015-02-12 21:00:00;^GDAXI
10972.50;10972.50;10939.80;10965.80;1642;2015-02-13 08:00:00;^GDAXI
10965.50;11011.80;10948.00;10984.00;3634;2015-02-13 09:00:00;^GDAXI
10983.50;10995.00;10963.80;10977.50;2301;2015-02-13 10:00:00;^GDAXI
10978.00;10989.00;10971.00;10983.50;1689;2015-02-13 11:00:00;^GDAXI
10982.50;10987.30;10973.50;10980.50;1194;2015-02-13 12:00:00;^GDAXI
10979.80;10981.30;10961.00;10972.50;1605;2015-02-13 13:00:00;^GDAXI
10972.80;11000.00;10968.50;10999.30;1815;2015-02-13 14:00:00;^GDAXI
10999.80;11001.50;10958.00;10977.50;3358;2015-02-13 15:00:00;^GDAXI
10977.80;10979.50;10948.30;10958.30;3721;2015-02-13 16:00:00;^GDAXI
10958.80;10974.30;10950.50;10955.50;2430;2015-02-13 17:00:00;^GDAXI
10955.00;10958.80;10951.80;10955.30;1075;2015-02-13 18:00:00;^GDAXI
10955.00;10963.80;10944.80;10952.00;1173;2015-02-13 19:00:00;^GDAXI
10952.50;10974.30;10949.80;10973.50;967;2015-02-13 20:00:00;^GDAXI
10974.00;10982.50;10964.50;10975.30;1071;2015-02-13 21:00:00;^GDAXI
10955.00;10960.80;10936.00;10944.80;969;2015-02-16 08:00:00;^GDAXI
10945.30;10965.00;10919.00;10938.80;3128;2015-02-16 09:00:00;^GDAXI
10938.00;10954.00;10926.80;10937.00;2165;2015-02-16 10:00:00;^GDAXI
10936.50;10940.80;10919.30;10922.00;1642;2015-02-16 11:00:00;^GDAXI
10921.80;10938.30;10907.30;10933.50;1671;2015-02-16 12:00:00;^GDAXI
10934.00;10942.00;10928.50;10934.00;1484;2015-02-16 13:00:00;^GDAXI
10934.30;10946.00;10928.00;10937.50;1501;2015-02-16 14:00:00;^GDAXI
10938.00;10943.50;10929.30;10939.00;1045;2015-02-16 15:00:00;^GDAXI
10939.30;10939.30;10919.00;10930.00;1298;2015-02-16 16:00:00;^GDAXI
10929.00;10930.00;10888.80;10890.30;1556;2015-02-16 17:00:00;^GDAXI
10889.80;10898.50;10852.80;10870.00;1934;2015-02-16 18:00:00;^GDAXI
10870.80;10871.80;10843.30;10852.80;1050;2015-02-16 19:00:00;^GDAXI
10853.30;10854.00;10845.30;10851.00;431;2015-02-16 20:00:00;^GDAXI
10851.30;10852.80;10840.30;10847.30;482;2015-02-16 21:00:00;^GDAXI
10837.30;10841.00;10829.00;10838.00;45;2015-02-17 08:00:00;^GDAXI
10845.50;10847.90;10763.00;10778.50;3302;2015-02-17 09:00:00;^GDAXI
10778.00;10868.50;10777.00;10842.50;3638;2015-02-17 10:00:00;^GDAXI
10844.80;10885.30;10824.30;10880.80;3028;2015-02-17 11:00:00;^GDAXI
10881.00;10904.00;10881.00;10885.30;2641;2015-02-17 12:00:00;^GDAXI
10885.50;10921.30;10885.50;10907.80;2316;2015-02-17 13:00:00;^GDAXI
10908.00;10914.50;10851.80;10884.50;2623;2015-02-17 14:00:00;^GDAXI
10884.80;10894.00;10822.00;10852.50;4037;2015-02-17 15:00:00;^GDAXI
10852.80;10888.50;10845.50;10865.80;3567;2015-02-17 16:00:00;^GDAXI
10866.50;10899.50;10845.00;10882.80;2690;2015-02-17 17:00:00;^GDAXI
10883.30;10918.50;10879.00;10912.00;1807;2015-02-17 18:00:00;^GDAXI
10912.30;10945.00;10911.00;10935.50;1754;2015-02-17 19:00:00;^GDAXI
10937.00;10938.50;10925.00;10927.00;1032;2015-02-17 20:00:00;^GDAXI
10926.80;10929.30;10892.80;10907.50;1361;2015-02-17 21:00:00;^GDAXI
10904.00;10943.30;10895.80;10929.30;1498;2015-02-18 08:00:00;^GDAXI
10931.80;10964.00;10908.30;10952.30;3309;2015-02-18 09:00:00;^GDAXI
10952.50;10979.00;10944.80;10958.00;2430;2015-02-18 10:00:00;^GDAXI
10957.80;10960.80;10930.00;10951.50;2098;2015-02-18 11:00:00;^GDAXI
10950.80;10964.30;10943.80;10964.00;1392;2015-02-18 12:00:00;^GDAXI
10963.50;10965.80;10932.00;10948.80;1782;2015-02-18 13:00:00;^GDAXI
10949.50;10954.00;10938.00;10944.00;1672;2015-02-18 14:00:00;^GDAXI
10943.50;10950.50;10928.50;10943.50;2521;2015-02-18 15:00:00;^GDAXI
10944.30;10950.30;10921.00;10943.80;3129;2015-02-18 16:00:00;^GDAXI
10943.00;10961.50;10941.50;10952.30;2094;2015-02-18 17:00:00;^GDAXI
10952.00;10960.30;10941.50;10944.80;919;2015-02-18 18:00:00;^GDAXI
10945.00;10961.50;10942.30;10955.30;1047;2015-02-18 19:00:00;^GDAXI
10955.80;10978.50;10946.50;10955.30;2039;2015-02-18 20:00:00;^GDAXI
10955.80;10970.50;10952.30;10957.50;1152;2015-02-18 21:00:00;^GDAXI
10945.30;10953.80;10912.50;10925.00;1332;2015-02-19 08:00:00;^GDAXI
10925.30;10945.50;10869.80;10915.50;4145;2015-02-19 09:00:00;^GDAXI
10915.30;10969.50;10914.50;10964.00;3111;2015-02-19 10:00:00;^GDAXI
10965.50;10985.00;10948.00;10977.00;2746;2015-02-19 11:00:00;^GDAXI
10976.80;11002.50;10968.50;11001.00;2517;2015-02-19 12:00:00;^GDAXI
11001.80;11021.50;10926.50;10958.50;4385;2015-02-19 13:00:00;^GDAXI
10959.50;10980.00;10948.80;10969.80;2019;2015-02-19 14:00:00;^GDAXI
10969.00;10969.30;10930.00;10956.80;2996;2015-02-19 15:00:00;^GDAXI
10957.80;10990.80;10939.50;10988.80;2935;2015-02-19 16:00:00;^GDAXI
10989.00;11003.30;10974.80;10989.50;2592;2015-02-19 17:00:00;^GDAXI
10990.80;10991.00;10951.30;10972.50;1452;2015-02-19 18:00:00;^GDAXI
10973.00;10987.30;10962.50;10984.00;1392;2015-02-19 19:00:00;^GDAXI
10984.30;10990.50;10980.50;10989.50;1134;2015-02-19 20:00:00;^GDAXI
10989.80;10994.80;10970.00;10978.50;1068;2015-02-19 21:00:00;^GDAXI
10971.00;10981.30;10964.30;10975.00;1057;2015-02-20 08:00:00;^GDAXI
10974.50;10988.50;10963.50;10975.50;2538;2015-02-20 09:00:00;^GDAXI
10975.30;10992.50;10969.30;10974.00;1875;2015-02-20 10:00:00;^GDAXI
10975.00;11001.30;10946.80;10983.50;2996;2015-02-20 11:00:00;^GDAXI
10985.80;10995.30;10966.30;10989.30;1746;2015-02-20 12:00:00;^GDAXI
10989.50;11159.50;10980.80;10993.50;5103;2015-02-20 13:00:00;^GDAXI
10993.30;11011.50;10962.00;10995.50;4049;2015-02-20 14:00:00;^GDAXI
10996.00;11001.80;10960.00;10975.80;3910;2015-02-20 15:00:00;^GDAXI
10975.00;11038.50;10960.80;11029.00;4503;2015-02-20 16:00:00;^GDAXI
11027.50;11053.30;11016.80;11046.50;3218;2015-02-20 17:00:00;^GDAXI
11046.30;11086.30;11030.30;11074.00;2643;2015-02-20 18:00:00;^GDAXI
11073.30;11127.00;11069.30;11120.50;2455;2015-02-20 19:00:00;^GDAXI
11118.80;11126.30;11097.80;11118.00;1714;2015-02-20 20:00:00;^GDAXI
11120.30;11161.80;11114.00;11117.30;1886;2015-02-20 21:00:00;^GDAXI
11127.80;11140.80;11117.50;11138.30;1431;2015-02-23 08:00:00;^GDAXI
11138.00;11157.30;11114.50;11139.30;3987;2015-02-23 09:00:00;^GDAXI
11138.50;11139.50;11076.30;11083.00;3142;2015-02-23 10:00:00;^GDAXI
11083.80;11102.80;11077.00;11099.00;1730;2015-02-23 11:00:00;^GDAXI
11098.50;11099.30;11067.50;11095.00;1724;2015-02-23 12:00:00;^GDAXI
11095.50;11099.50;11081.30;11089.80;1588;2015-02-23 13:00:00;^GDAXI
11090.50;11105.00;11080.00;11104.00;1360;2015-02-23 14:00:00;^GDAXI
11104.50;11132.80;11100.00;11120.30;2424;2015-02-23 15:00:00;^GDAXI
11120.50;11124.80;11081.50;11102.30;2733;2015-02-23 16:00:00;^GDAXI
11102.50;11131.50;11096.00;11119.80;2100;2015-02-23 17:00:00;^GDAXI
11120.00;11121.30;11103.80;11111.50;1140;2015-02-23 18:00:00;^GDAXI
11111.80;11126.80;11111.00;11119.00;1003;2015-02-23 19:00:00;^GDAXI
11119.50;11121.00;11107.30;11111.00;993;2015-02-23 20:00:00;^GDAXI
11110.80;11123.30;11104.30;11117.60;800;2015-02-23 21:00:00;^GDAXI
