open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
11064.80;11077.00;10977.50;11022.50;0;2015-08-13 10:00:00;DAX;2015-08-13 10:00:00;240min;US/Eastern
11022.80;11043.00;11022.30;11027.80;0;2015-08-13 14:00:00;DAX;2015-08-13 14:00:00;240min;US/Eastern
11028.00;11047.00;10986.50;11001.50;0;2015-08-13 15:00:00;DAX;2015-08-13 15:00:00;240min;US/Eastern
10997.80;11092.00;10975.80;11032.50;0;2015-08-14 02:00:00;DAX;2015-08-14 02:00:00;240min;US/Eastern
11032.30;11046.00;10909.80;10969.50;0;2015-08-14 06:00:00;DAX;2015-08-14 06:00:00;240min;US/Eastern
10969.00;11023.80;10957.30;11014.80;0;2015-08-14 10:00:00;DAX;2015-08-14 10:00:00;240min;US/Eastern
11014.50;11015.00;10988.80;11003.50;0;2015-08-14 11:00:00;DAX;2015-08-14 11:00:00;240min;US/Eastern
11003.30;11044.80;11001.80;11032.30;0;2015-08-14 14:00:00;DAX;2015-08-14 14:00:00;240min;US/Eastern
11032.50;11047.50;11032.50;11042.80;0;2015-08-14 15:00:00;DAX;2015-08-14 15:00:00;240min;US/Eastern
11037.80;11112.50;10987.80;11026.10;0;2015-08-17 02:00:00;DAX;2015-08-17 02:00:00;240min;US/Eastern
11025.60;11053.30;10813.80;10864.30;0;2015-08-17 06:00:00;DAX;2015-08-17 06:00:00;240min;US/Eastern
10863.30;10976.30;10827.30;10967.10;0;2015-08-17 10:00:00;DAX;2015-08-17 10:00:00;240min;US/Eastern
10967.30;10975.60;10963.80;10965.10;0;2015-08-17 14:00:00;DAX;2015-08-17 14:00:00;240min;US/Eastern
10964.80;10978.60;10958.80;10978.30;0;2015-08-17 15:00:00;DAX;2015-08-17 15:00:00;240min;US/Eastern
10972.30;10983.60;10884.80;10938.80;0;2015-08-18 02:00:00;DAX;2015-08-18 02:00:00;240min;US/Eastern
10939.10;10968.60;10911.30;10922.30;0;2015-08-18 06:00:00;DAX;2015-08-18 06:00:00;240min;US/Eastern
10922.80;10957.50;10880.80;10951.50;0;2015-08-18 07:00:00;DAX;2015-08-18 07:00:00;240min;US/Eastern
10951.00;10963.50;10903.00;10914.00;0;2015-08-18 10:00:00;DAX;2015-08-18 10:00:00;240min;US/Eastern
10914.50;10922.00;10900.50;10901.50;0;2015-08-18 11:00:00;DAX;2015-08-18 11:00:00;240min;US/Eastern
10901.80;10912.00;10895.50;10902.30;0;2015-08-18 14:00:00;DAX;2015-08-18 14:00:00;240min;US/Eastern
10902.00;10909.30;10884.00;10907.50;0;2015-08-18 15:00:00;DAX;2015-08-18 15:00:00;240min;US/Eastern
10841.00;10848.30;10732.80;10754.80;0;2015-08-19 02:00:00;DAX;2015-08-19 02:00:00;240min;US/Eastern
10755.80;10809.50;10750.80;10777.50;0;2015-08-19 06:00:00;DAX;2015-08-19 06:00:00;240min;US/Eastern
10777.80;10785.80;10752.50;10763.00;0;2015-08-19 07:00:00;DAX;2015-08-19 07:00:00;240min;US/Eastern
10761.50;10775.80;10670.50;10696.80;0;2015-08-19 10:00:00;DAX;2015-08-19 10:00:00;240min;US/Eastern
10696.50;10718.80;10690.30;10691.30;0;2015-08-19 14:00:00;DAX;2015-08-19 14:00:00;240min;US/Eastern
10691.50;10703.80;10670.00;10690.00;0;2015-08-19 15:00:00;DAX;2015-08-19 15:00:00;240min;US/Eastern
10656.10;10661.20;10532.00;10550.00;0;2015-08-20 02:00:00;DAX;2015-08-20 02:00:00;240min;US/Eastern
