open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
6511.30;6532.80;6499.50;6507.80;0;2012-07-06 02:00:00;^GDAXI;2012-07-06 02:00:00;240min;US/Eastern
6507.30;6516.50;6428.00;6434.30;0;2012-07-06 06:00:00;^GDAXI;2012-07-06 06:00:00;240min;US/Eastern
6434.00;6438.00;6402.50;6416.50;0;2012-07-06 10:00:00;^GDAXI;2012-07-06 10:00:00;240min;US/Eastern
6415.50;6428.30;6412.50;6428.00;0;2012-07-06 14:00:00;^GDAXI;2012-07-06 14:00:00;240min;US/Eastern
6424.00;6425.20;6414.00;6416.40;0;2012-07-08 17:00:00;^GDAXI;2012-07-08 17:00:00;240min;US/Eastern
6417.00;6429.00;6413.40;6426.00;0;2012-07-08 18:00:00;^GDAXI;2012-07-08 18:00:00;240min;US/Eastern
6424.80;6425.40;6395.90;6405.80;0;2012-07-08 22:00:00;^GDAXI;2012-07-08 22:00:00;240min;US/Eastern
6405.50;6420.50;6375.30;6412.80;0;2012-07-09 02:00:00;^GDAXI;2012-07-09 02:00:00;240min;US/Eastern
6412.50;6419.30;6384.50;6405.50;0;2012-07-09 06:00:00;^GDAXI;2012-07-09 06:00:00;240min;US/Eastern
6405.30;6408.30;6382.30;6394.80;0;2012-07-09 10:00:00;^GDAXI;2012-07-09 10:00:00;240min;US/Eastern
6394.50;6412.90;6393.80;6401.50;0;2012-07-09 14:00:00;^GDAXI;2012-07-09 14:00:00;240min;US/Eastern
6400.90;6406.30;6379.70;6380.90;0;2012-07-09 18:00:00;^GDAXI;2012-07-09 18:00:00;240min;US/Eastern
6380.30;6402.80;6374.00;6401.00;0;2012-07-09 22:00:00;^GDAXI;2012-07-09 22:00:00;240min;US/Eastern
6399.50;6486.80;6347.30;6482.00;0;2012-07-10 02:00:00;^GDAXI;2012-07-10 02:00:00;240min;US/Eastern
6482.30;6490.50;6430.00;6453.80;0;2012-07-10 06:00:00;^GDAXI;2012-07-10 06:00:00;240min;US/Eastern
6454.00;6454.00;6401.50;6404.30;0;2012-07-10 10:00:00;^GDAXI;2012-07-10 10:00:00;240min;US/Eastern
6403.50;6414.50;6389.50;6402.80;0;2012-07-10 14:00:00;^GDAXI;2012-07-10 14:00:00;240min;US/Eastern
6403.40;6409.50;6389.10;6404.70;0;2012-07-10 18:00:00;^GDAXI;2012-07-10 18:00:00;240min;US/Eastern
6404.10;6419.30;6393.30;6410.00;0;2012-07-10 22:00:00;^GDAXI;2012-07-10 22:00:00;240min;US/Eastern
6412.50;6482.30;6398.30;6473.50;0;2012-07-11 02:00:00;^GDAXI;2012-07-11 02:00:00;240min;US/Eastern
6472.80;6498.30;6423.80;6433.50;0;2012-07-11 06:00:00;^GDAXI;2012-07-11 06:00:00;240min;US/Eastern
