open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
4646.30;4654.20;4642.20;4649.50;0;2015-11-10 22:00:00;NQ100;2015-11-10 22:00:00;240min;US/Eastern
4649.70;4665.00;4646.10;4660.80;0;2015-11-11 02:00:00;NQ100;2015-11-11 02:00:00;240min;US/Eastern
4660.90;4667.50;4655.40;4662.00;0;2015-11-11 06:00:00;NQ100;2015-11-11 06:00:00;240min;US/Eastern
4661.90;4680.20;4631.30;4673.40;0;2015-11-11 10:00:00;NQ100;2015-11-11 10:00:00;240min;US/Eastern
4673.30;4674.00;4631.70;4637.10;0;2015-11-11 14:00:00;NQ100;2015-11-11 14:00:00;240min;US/Eastern
4630.00;4646.90;4629.50;4645.90;0;2015-11-11 18:00:00;NQ100;2015-11-11 18:00:00;240min;US/Eastern
4645.70;4651.40;4641.70;4651.40;0;2015-11-11 22:00:00;NQ100;2015-11-11 22:00:00;240min;US/Eastern
4651.30;4657.00;4636.70;4640.50;0;2015-11-12 02:00:00;NQ100;2015-11-12 02:00:00;240min;US/Eastern
4640.40;4640.40;4619.50;4626.80;0;2015-11-12 06:00:00;NQ100;2015-11-12 06:00:00;240min;US/Eastern
4626.70;4641.40;4608.80;4625.20;0;2015-11-12 10:00:00;NQ100;2015-11-12 10:00:00;240min;US/Eastern
4625.30;4632.90;4585.60;4587.50;0;2015-11-12 14:00:00;NQ100;2015-11-12 14:00:00;240min;US/Eastern
4581.10;4594.60;4580.50;4593.30;0;2015-11-12 18:00:00;NQ100;2015-11-12 18:00:00;240min;US/Eastern
4593.20;4593.90;4582.90;4586.30;0;2015-11-12 22:00:00;NQ100;2015-11-12 22:00:00;240min;US/Eastern
4586.20;4594.50;4580.40;4583.70;0;2015-11-13 02:00:00;NQ100;2015-11-13 02:00:00;240min;US/Eastern
4583.50;4587.50;4568.10;4577.00;0;2015-11-13 06:00:00;NQ100;2015-11-13 06:00:00;240min;US/Eastern
4577.20;4581.30;4524.60;4540.10;0;2015-11-13 10:00:00;NQ100;2015-11-13 10:00:00;240min;US/Eastern
4540.20;4542.90;4499.80;4502.70;0;2015-11-13 14:00:00;NQ100;2015-11-13 14:00:00;240min;US/Eastern
4459.80;4491.90;4458.10;4488.90;0;2015-11-15 18:00:00;NQ100;2015-11-15 18:00:00;240min;US/Eastern
4489.20;4491.00;4480.70;4483.90;0;2015-11-15 22:00:00;NQ100;2015-11-15 22:00:00;240min;US/Eastern
4484.00;4521.40;4482.10;4512.40;0;2015-11-16 02:00:00;NQ100;2015-11-16 02:00:00;240min;US/Eastern
4512.40;4520.30;4495.00;4496.40;0;2015-11-16 06:00:00;NQ100;2015-11-16 06:00:00;240min;US/Eastern
4496.30;4527.10;4487.60;4521.80;0;2015-11-16 10:00:00;NQ100;2015-11-16 10:00:00;240min;US/Eastern
4521.80;4568.90;4519.50;4565.40;0;2015-11-16 14:00:00;NQ100;2015-11-16 14:00:00;240min;US/Eastern
4557.40;4567.70;4556.20;4566.40;0;2015-11-16 18:00:00;NQ100;2015-11-16 18:00:00;240min;US/Eastern
4566.70;4573.40;4562.80;4563.20;0;2015-11-16 22:00:00;NQ100;2015-11-16 22:00:00;240min;US/Eastern
4562.90;4581.90;4552.80;4577.90;0;2015-11-17 02:00:00;NQ100;2015-11-17 02:00:00;240min;US/Eastern
4577.80;4586.70;4573.60;4577.30;0;2015-11-17 06:00:00;NQ100;2015-11-17 06:00:00;240min;US/Eastern
4577.30;4598.70;4559.60;4586.20;0;2015-11-17 10:00:00;NQ100;2015-11-17 10:00:00;240min;US/Eastern
4586.20;4593.20;4554.40;4571.80;0;2015-11-17 14:00:00;NQ100;2015-11-17 14:00:00;240min;US/Eastern
4564.80;4573.10;4562.70;4570.30;0;2015-11-17 18:00:00;NQ100;2015-11-17 18:00:00;240min;US/Eastern
4570.50;4573.80;4560.60;4562.60;0;2015-11-17 22:00:00;NQ100;2015-11-17 22:00:00;240min;US/Eastern
4562.30;4566.80;4557.30;4564.10;0;2015-11-18 02:00:00;NQ100;2015-11-18 02:00:00;240min;US/Eastern
4563.70;4590.60;4558.30;4589.30;0;2015-11-18 06:00:00;NQ100;2015-11-18 06:00:00;240min;US/Eastern
4589.20;4615.90;4579.70;4608.70;0;2015-11-18 10:00:00;NQ100;2015-11-18 10:00:00;240min;US/Eastern
4608.80;4657.80;4608.10;4651.80;0;2015-11-18 14:00:00;NQ100;2015-11-18 14:00:00;240min;US/Eastern
4646.40;4666.20;4646.40;4663.70;0;2015-11-18 18:00:00;NQ100;2015-11-18 18:00:00;240min;US/Eastern
4663.80;4664.00;4652.00;4658.50;0;2015-11-18 22:00:00;NQ100;2015-11-18 22:00:00;240min;US/Eastern
4658.40;4671.70;4655.40;4671.70;0;2015-11-19 02:00:00;NQ100;2015-11-19 02:00:00;240min;US/Eastern
4671.50;4674.70;4657.70;4659.20;0;2015-11-19 06:00:00;NQ100;2015-11-19 06:00:00;240min;US/Eastern
4659.10;4674.20;4647.60;4673.50;0;2015-11-19 10:00:00;NQ100;2015-11-19 10:00:00;240min;US/Eastern
4673.50;4677.80;4653.20;4660.90;0;2015-11-19 14:00:00;NQ100;2015-11-19 14:00:00;240min;US/Eastern
4655.00;4657.50;4650.50;4655.70;0;2015-11-19 18:00:00;NQ100;2015-11-19 18:00:00;240min;US/Eastern
4655.60;4660.50;4654.50;4659.50;0;2015-11-19 22:00:00;NQ100;2015-11-19 22:00:00;240min;US/Eastern
4659.50;4674.90;4658.10;4665.70;0;2015-11-20 02:00:00;NQ100;2015-11-20 02:00:00;240min;US/Eastern
4665.50;4675.20;4662.60;4674.70;0;2015-11-20 06:00:00;NQ100;2015-11-20 06:00:00;240min;US/Eastern
4674.70;4692.20;4669.70;4685.20;0;2015-11-20 10:00:00;NQ100;2015-11-20 10:00:00;240min;US/Eastern
4685.10;4690.20;4674.70;4687.20;0;2015-11-20 14:00:00;NQ100;2015-11-20 14:00:00;240min;US/Eastern
